3.LPO and GRN Dashboard based on Gross Amount Data 		
Project	PO_Value	GRN_Value
A. 109 VAB_Inactive	20177.443	19460.715
A. 261 CBM_Inactive	13487	48
A. 269 OETC	475316.958	457137.603
A. 269 OETC_Inactive	600.25	0
A. 273 FBK	215135.598	144083.802
A. 273 FBK_Inactive	565382.576	364130.511
A. 274 DPC	136397.667	136397.59
A. 275 STF	36100.541	32017.031
A. 275 STF_Inactive	150735.726	48290.936
A. 276 MTC	142.448	142.448
A. 276 MTC_Inactive	19758.885	16361.308
A. 278 ABC-II	26495.644	25953.55
A. 278 ABC-II_Inacti	279185.568	66042.062
A. 282 PCA	68237.756	62722.066
A. 282 PCA_Inactive	30783.228	1879.808
A. 286 IGHQ_Inactive	245.63	0
A. 287 LPC_Inactive	209.807	0
A. 288 LSTF_Inactive	240.85	0
A. 289 ISTF_Inactive	162.729	0
A. 290 ASTF_Inactive	76.8	0
A. AFW	18216.597	16887.189
A. Misc Clients_Inac	462.913	462.913
AC Maint	291600.595	196214.573
AD. 001 HAN	1757208.948	1607338.198
AD. 002 SHC	2842017.427	1560221.819
AEFC	16242.51	16242.5
AFS - FMT	8666.15	4678.15
AFS - KEC	40188.13	23679.803
AFS - OLA	1200	1200
AFS OFFICE - IT	10479	8916.6
AFS-RAG	22857.143	0
AFW	33845745.49	25485435.58
AIMS-ACA	70846.229	58687.596
AIMS-BARKA	145652.979	119537.776
AIMS-CLO	10814000	7782000
AIMS-HO	1266461.712	1094523.527
AKIS-PF	12017.349	4083.999
ALLIED WORKS	3929725.695	2762337.012
AMF	354526.669	285813.43
AMG	171737.916	139483.274
AMSP-BC	47944.973	36699.422
AMSP-HO	5780763.988	3296593.459
AMSP-HO-OLA	315	315
AMSP-VETC-BARKA	46195.054	42564.554
ARCB	27192745.79	21013254.47
AWP	1650	1650
BF	89570.504	59118.02
BNS	2640432.986	1629835.261
BTHO	112632.9	8398.5
CAMP YCC	221100.62	2579.575
CAMP-BNS	311551.259	178421.577
CUIHO	207820.101	98319.381
CWH-BARKA	49246405.89	39346481.69
CWH-GALA	26480326.85	10939099.77
CWS	18127254.82	12883517.85
Camp I	1527.12	1498.388
Camp II	7496.19	7174.89
Camp-Halban	211901.38	144981.515
Camp-MSD	17140.5	17140.5
D. 1001 CBSN	12355	7355
D. 1018 CSAB	1550	1550
D. 1019	24700	14000
D. 1022	5196.36	3846
D. 1028	1350	1350
D. 1029	1995	1995
D. 1038	1425	0
D. 1043	1425	0
D. 1045	1425	712.5
D. 1047	1425	0
D. 1055	1425	712.5
D. 1062	1600	0
D. 1073	45848.409	37848.409
D. 1084	32000	24000
D. 1116	8731.305	8731.305
DCRUSHER	569423.741	450640.895
EPS 3D	6926.49	4649.49
FAB	12581624.22	7508988.005
GNC	13097.269	8469.8
Gen. Maint	50738.827	41758.249
IEC.1000	1503359.888	1187920.071
INSIGHT	11653.004	9613
J. 109 VAB_inactive	20470	6918.174
J. 255 PAC	609.984	442.984
J. 255 PAC_inactive	17567.15	10222.625
J. 269 OETC	38623.5	32526.342
J. 269 OETC_Inactive	9415.5	5952.625
J. 273 FBK	6219.211	6181.749
J. 273 FBK_Inactive	17277.76	5163.674
J. 275 STF	155388.865	148768.265
J. 275 STF_Inactive	93789.261	17078.543
J. 276 MTC_Inactive	1201.69	826.69
J. 278 ABC-II	420	420
J. 278 ABC-II_Inacti	14968.88	13272.191
J. 279 NAK_Inactive	244.8	0
J. 282 PCA	33463.59	28102.796
J. 283 RSTF_Inactive	588.3	578.75
J. 285 QSTF_Inactive	2017.38	2013.534
J. 288 LSTF	3842	3192
J. 288 LSTF_Inactive	492.5	492.5
J. 289 ISTF	5481.48	4924.98
J. 289 ISTF_Inactive	1092.05	1091.022
J. 290 ASTF	3912.5	1934.4
J. 290 ASTF_Inactive	1032.05	1031.25
J. CWS	318344.283	275579.193
J. CWS_Inactive	40766.137	5066.586
J. FAB_Inactive	190	190
KAYAT - HO	136	136
KAYAT - NAK	8128.2	5001
LFCM	12934.765	8211.75
MAINTENANCE AT AMV	3742.618	2464.144
MCC	24686.773	18039.868
MDV	84533.025	36937.753
ML-ADK	1003.031	997.212
ML-TRADING	492525.352	374815.467
MW GHALA	1309516.993	1112062.679
Mech. Workshop	58684613.99	43146312.03
N. FMT	682073.718	438491.153
NGF - A	2330014.628	1935804.968
NPMV	16184	0
NR. 101 QUR	1490	442.932
NR. 103 VAA	43825.055	39108.335
NR. 104 EVW	9197.421	5906.63
NR. 105 VAK	160739.85	142824.74
NR. 106 VAJ	22848.28	13223.13
NR. 107 BSM	1466.08	913.635
NR. 108 MH	18988.927	13226.086
NR. 109 VAB	163097.284	105944.335
NR. 111 AHM	976679.478	859290.532
NREIFS	15383.134	0
NRMF	3981041.741	2478131.414
NRMG	10588201.01	8337691.754
NRMS	809320.019	422101.696
NRSS	202608.774	163638.354
NRT	64134931.94	45382632.42
NRW	23825700.14	17918668.9
OFFICE - AFS	8676.154	3686.504
OFFICE- ADANTE	85674.6	4037.46
OFFICE-ADK	4711988.611	3574488.207
OFFICE-ADK DEVELOPER	497142.667	296050.71
OFFICE-AKJ	4755	2185
OFFICE-ALRASD	725	725
OFFICE-IT	3871052.499	2675584.497
OFFICE-NRE	536	30
P. 206 NYC	1516.93	1184.13
P. 211 IICS	440	440
P. 215 HIJ	1673.34	1383.23
P. 224 SBG	5.4	5.4
P. 226 BAR	298	283.1
P. 227 FLC	214999.014	140488.205
P. 228 CDH	663.5	484.875
P. 230 GOB	510.82	510.82
P. 231 MECA	1668000.342	1367560.811
P. 232 JBZ	1154.05	562.9
P. 234 WET	2448.025	2238.417
P. 235 MOHE	844244.394	566400.202
P. 238 MB	143.96	143.96
P. 239 IE	64554.031	61781.862
P. 240 SPL	392	371
P. 241 KOM4	133516.08	99396.415
P. 242 HYHQ	3779796.779	1894506.506
P. 243 EMS	125031.246	98520.927
P. 244 BCC	1975123.053	1305951.031
P. 246 PPB	263329.378	168960.239
P. 247 CBG	92875.143	66505.019
P. 248 QE	30.69	30.69
P. 249 SU	7378561.57	5072344.381
P. 252 ABC	369302.053	258049.859
P. 255 PAC	5523362.508	4214688.977
P. 256 VAM	100147.414	74538.373
P. 257 OCA	3290726.886	2308427.828
P. 258 VAQ	394411.775	321504.257
P. 260 CBO	28269.37	27707.173
P. 261 CBM	2268485.315	1656735.421
P. 262 PCB	2300977.517	998706.274
P. 264 PCY	1061977.001	883630.838
P. 266 VQS	1226450.776	820561.044
P. 267 TRC	1595245.191	1221820.601
P. 268 CBO2	16617059.34	12397250.42
P. 269 OETC	1515879.291	1112363.697
P. 270 MSD	2255437.273	1519589.663
P. 273 FBK	3244761.703	2747803.704
P. 274 DPC	19156226.64	13698616.24
P. 275 STF	16397177.88	12724798.71
P. 276 MTC	19921891.8	14029598.03
P. 277 AMK	105587.413	104673.047
P. 278 ABC-II	1350355.485	1147769.212
P. 279 NAK	24600057.62	22290660.85
P. 280 DUQ	8592.76	0
P. 281 BWR	122790.804	80519.925
P. 282 PCA	5390777.575	3544504.887
P. 283 RSTF	8964390.806	6852549.773
P. 284 SSTF	7800810.893	5504502.134
P. 285 QSTF	9456564.691	6096728.484
P. 286 IGHQ	46602.025	38741.241
P. 287 LPC	7591724.645	6013470.892
P. 288 LSTF	10355139.64	7335942.751
P. 289 ISTF	13153370.08	8288624.875
P. 290 ASTF	10178842.04	6885754.227
P. 291 MSN	254691.902	198758.936
P. 292 STF-II	2928573.375	1965724.477
P. 293 RSTF-II	3670868.263	2419001.066
P. 294 SSTF-II	5132153.85	3494300.165
P. 295 QSTF-II	4311574.347	3088158.697
P. 296 LSTF-II	2991732.384	1805701.531
P. 297 ISTF-II	3182818.695	2390071.49
P. 298 ASTF-II	3522289.125	2735599.175
P. 299 MMS	1088.9	640.2
P. 300 OCA2	1493178.73	1073736.25
P. 301 NPC	9529819.161	6446474.652
P. 302 SNV	226742.692	169347.028
P. 303 KMBP	8772407.882	5452724.5
P. 304 BPC	4510301.33	2910744.435
P. 305 RPC	3973663.723	3062178.223
P. 306 DSTF	13333449.23	9148683.266
P. 307 QSTF III	398588.461	239014.41
P. 308 STF III	589015.013	361295.568
P. 309 RSTF III	495328.641	355684.956
P. 310 NGF	933075.298	844663.431
P. 312 HRHQ	69914521.08	12546387.33
P. 313 KSTF	20561384.5	11156472.66
P. 314 SRHQ	18492447.17	11693098.21
P. 315 BWBF	1435502.441	528159.418
P. 316 OAR	11489.824	5228.434
P. 317 HPC	5280612.453	3250877.906
P. 318 KVS	418966.347	203962.535
P. 319 HRHQ II	1389.9	1389.9
P. 320 KSTF II	42856.998	34271.017
P. 321 QSTF IV	69076.021	59931.595
P. 322 NGF2	200107.107	97531.59
P. 323 OIUC	121156.642	62846.968
P. 325 SNF	148186.426	87103.17
P. 326 BWA	621005.729	35247.759
P. 328 ABK	9094510.86	498086.241
P. 329 NPA	11791.8	6532.286
P. 329 WPCA	20194033.8	14516296.37
P. 331 ABD	2542216.932	1798661.847
P. 333 NPC II	1611003.826	1282081.677
P. 334 CBA	4600153.917	3681144.429
P. 335 QSTF-V	1446207.335	993850.418
P. 336 OCG	321442.321	182336.283
P. 337 CPK	131473.314	85069.256
P. 338 OWA	3931505.436	1195109.174
P. 339 QSTF VI	280888.359	186819.742
P. 340 CRB	1935142.627	1373163.149
P. 341 MDP	20266334.88	13855854.96
P. 342 WPCA-II	187860.467	151957.523
P. 343 VWA	8420.893	4341.826
P. 344 HRHQ III	111141.124	70298.22
P. 346 MDP II	17987725.1	11847089.25
P. 347 RPG	13593.406	8422.309
P. 348 HPG	12373628.33	9865324.27
P. 349 DPC-II	1532921.215	658670.277
P. 350 NPC III	2018583.053	1550483.465
P. 351 HTI	2012283.877	1360208.654
P. 352 STF-IV	120720.503	74132.065
P. 353 RSTF-IV	97360.16	67446.867
P. 354 SSTF-III	154524.65	97940.69
P. 355 ISTF-III	105332.362	73461.427
P. 356 ASTF-III	148523.56	78222.092
P. 357 DSTF-II	118546.927	83810.02
P. 358 KSTF-III	142697.205	82607.62
P. 359 KTI	1494697.875	1082692.177
P. 360 AFT	137976.013	88570.182
P. 361 PPQ	2268814.716	1488346.508
P. 362 SPB	25436.338	4104.138
P. 363 ISHC	20726516.15	12647137.64
P. 364 BFH	173032.807	101613.11
P. 366 MNB	511.5	500
P. 368 NPC IV	21829.536	18506.496
P. 369 BCA	6678682.228	4646821.444
P. 370 WPCA-IV	166021.072	110686.064
P. 371 IWA	3736036.329	2016304.736
P. 372 TBR	45584.304	21663.287
P. 373 WSD	35648.377	18175.834
P. 374 AHA	257576.265	83397.933
P. 375 DTV	71521.71	55877.355
P. 376 CIS	6115838.375	4849688.98
P. 378 SRV	6406079.294	4405878.975
P. 380 CLO	88607.215	70202.267
P. 381 ACA	18191.901	12109.12
P. 382 MCM	542.106	515.3
P. 383 EAB	6398341.26	5054733.554
P. 384 WPCA-V	15817.476	7842.818
P. 385 DGS	50815.301	14239.386
P. 386 MGS	118503.314	66236.553
P. 387 RRK	4610887.476	3220317.329
P. 388 MPM	4597304.259	3538103.745
P. 389 PWB	277451.441	255274.38
P. 390 ABH	910169.376	722588.177
P. 391 PPM	10498026.37	6178234.437
P. 392 CLA	7290368.928	5302605.943
P. 393 CRO	113195.405	84211.054
P. 394 - APH	13275.566	7648.643
P. 395 ACL	3413.947	2902.058
P. 396 TIS	4829472.636	3816067.532
P. 397 MWG	54488.714	32800.165
P. 398 - ISHC-III	1956571.029	1115031.977
P. 399 DBK	8770407.576	3095127.038
P. 400 CSD	821392.653	666361.733
P. 401 RBA	54077.656	32188.857
P. 402 IGA	816815.509	299843.633
P. 403 ZRB	1456598.981	558579.36
P. 404 YRS	116715.878	21838.459
P. 405 RAM	11611.859	11087.364
P. 406 RMV	253.2	238.4
P. 407 CRV	151752.17	11814.773
P. 409 AMD	3756.805	0
P. 410 CMS	3040.01	1026
PD	8906.4	4548.7
PID. 101	54	54
PMAINT	1387100.411	407431.714
PMV	1738143.838	1531136.582
PT. 104 SCK	191.193	191.192
PT. 105 LUQ	316.4	218.412
PT. 106 KPW	485.5	485.5
PT. 107 ISHC	4844.71	3827.8
PT. 108 BPR	8214.758	7945.486
PT. 109 BPM	8556	5472.697
R. 101 SPB	46279.293	18536.968
R. 102 MNB	5505.236	648.27
R. 104 TBR	1423447.271	991688.439
R. 105 RWA	18634.235	6395.95
R. 106 MVP	61289.903	26108.596
RNS	664544.672	446832.009
SCAFFOLD	4166203.974	2170755.856
T. 101 SCG	187223.531	105857.233
T. 102 NAK	4584079.588	3178883.454
T. 103 DQM	404.51	401.567
T. 104 SCK	411379.5	170224.762
T. 105 LUQ	21180	17699.06
T. 106 KPW	58545.568	7967.868
T. 107 ISHC	472284.2	336019.8
T. 108 BPR	1300210.166	875150.792
T. 109 BPM	1031182.75	756241.484
T. 110 BPK	338773.487	243550.617
TC. BNS	4602.211	4188.2
TCSHO	131703.4	131681.4
TFF. 100 - NGF	402456.956	178260.421
TFHO	1080230.909	894535.626
TI. 101 CRD	7555.001	3915
TRANSPORT	11976826.56	8862825.645
WMF	1315589.443	1276589.073
